Components,Flap Side,Size,Stock,Printing,Sheets,Pages,Gusset,,description
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,Check Label cost for keychain in label sheet
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,Perso price is different in all component so if calculator pick price by unique name can cause error.
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,In Magnet with Paper Cover unit price is strike out so which price we need to consider
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,NP is also have Strike out unit pride check 
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",105gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",105gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",128gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",140gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12.6""","12.6"" x 4.73"" ",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10.5""","10.5"" x 5"" or 10.5"" x 4.5""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10.5""","10.5"" x 5"" or 10.5"" x 4.5""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10.5""","10.5"" x 5"" or 10.5"" x 4.5""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10.5""","10.5"" x 5"" or 10.5"" x 4.5""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",140gsm uncoated,"2c or 4c, closed face",-,-,-,,
